product,unique_products_2021,unique_products_2020,percentage_chg
"AQ Zion Saga",3,1,200.00
"AQ Wi Power Dx2",3,3,0.00
"AQ Wi Power Dx1",3,3,0.00
"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",3,3,0.00
"AQ Velocity",3,6,-50.00
"AQ Smash 2",3,1,200.00
"AQ Smash 1",3,8,-62.50
"AQ Pen Drive DRC",3,1,200.00
"AQ Pen Drive 2 IN 1",3,1,200.00
"AQ Neuer SSD",3,3,0.00
"AQ Mx NB",3,2,50.00
"AQ Mforce Gen Z",3,8,-62.50
"AQ Mforce Gen Y",3,8,-62.50
"AQ Mforce Gen X",3,8,-62.50
"AQ MB Elite",3,4,-25.00
"AQ MB Crossx 2",3,4,-25.00
"AQ MB Crossx",3,4,-25.00
"AQ Maxima",3,4,-25.00
"AQ Master wireless x1 Ms",3,6,-50.00
"AQ Master wireless x1",3,6,-50.00
"AQ Master wired x1 Ms",3,6,-50.00
"AQ Master wired x1",3,6,-50.00
"AQ Lite Ms",3,6,-50.00
"AQ Lite",3,6,-50.00
"AQ LION x3",3,5,-40.00
"AQ LION x2",3,5,-40.00
"AQ LION x1",3,5,-40.00
"AQ Home Allin1",3,7,-57.14
"AQ GT 21",3,2,50.00
"AQ Gen X",3,4,-25.00
"AQ Gamers Ms",3,6,-50.00
"AQ Gamers ",3,6,-50.00
"AQ Gamer 3",3,8,-62.50
"AQ Gamer 2",3,8,-62.50
"AQ Gamer 1",3,8,-62.50
"AQ Elite",3,8,-62.50
"AQ Electron 5 3600 Desktop Processor",3,3,0.00
"AQ Electron 4 3600 Desktop Processor",3,1,200.00
"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",3,4,-25.00
"AQ Digit SSD",3,3,0.00
"AQ Digit",3,8,-62.50
"AQ Clx2",3,1,200.00
"AQ Clx1",3,3,0.00
"AQ BZ Gen Z",3,6,-50.00
"AQ BZ Gen Y",3,8,-62.50
"AQ BZ Compact",3,8,-62.50
"AQ BZ 101",3,4,-25.00
"AQ Aspiron",3,7,-57.14
"AQ 5000 Series Ultron 8 5900X Desktop Processor",3,3,0.00
"AQ 5000 Series Electron 9 5900X Desktop Processor",3,3,0.00
"AQ 5000 Series Electron 8 5900X Desktop Processor",3,3,0.00
"AQ Zion Saga",3,1,200.00
"AQ Wi Power Dx2",3,3,0.00
"AQ Wi Power Dx1",3,3,0.00
"AQ WereWolf NAS Internal Hard Drive HDD – 8.89 cm",3,3,0.00
"AQ Velocity",3,6,-50.00
"AQ Smash 2",3,1,200.00
"AQ Smash 1",3,8,-62.50
"AQ Pen Drive DRC",3,1,200.00
