Month,Year,Gross_Sales_Amount,
September,2019,1066547.85,
October,2019,991044.97,
November,2019,1115465.27,
December,2019,670126.78,
January,2020,1092487.78,
February,2020,910017.49,
March,2020,243903.77,
April,2020,198249.39,
May,2020,468715.97,
June,2020,557983.51,
July,2020,973696.01,
August,2020,569510.03,
September,2020,1725995.97,
October,2020,1439452.36,
November,2020,1585372.52,
December,2020,923110.78,
January,2021,1731068.09,
February,2021,1402643.48,
March,2021,1518630.04,
April,2021,887564.41,
May,2021,1741384.98,
June,2021,1403534.86,
July,2021,1520631.37,
August,2021,891262.69,
